Size Idx Append Polo PoloAppend
2190000 6278345 12302608 134692594 150661306
2200000 6011514 11323731 148034596 149789583
2210000 6063478 11522805 136675658 143685056
2220000 6128432 11628115 141522625 150050113
2230000 6137197 11575913 142423286 147052494
2240000 6468336 11650963 142054002 150766852
2250000 6241154 11540897 143183399 144888380
2260000 6171164 11891111 137984905 154932586
2270000 6163236 11901807 150331652 149586440
2280000 6204793 12096770 137946290 130618778
2290000 6325852 11720130 146088194 155834918
2300000 6412546 12200141 153129511 157140685
2310000 6346367 12045731 150055048 157260357
2320000 6454677 11972281 150278077 154697393
2330000 6485562 12525969 154164769 150855511
2340000 6502788 12215528 148530019 163916874
2350000 6487417 12315547 155228098 159570120
2360000 6597012 12438472 160117502 160786401
2370000 6487204 12256405 151657146 162396280
2380000 6587268 12129372 154210681 146093523
2390000 6511902 12227644 148037364 149711149
2400000 6576680 12500827 156813878 150176091
2410000 6563516 12627730 152622254 151535689
2420000 6632037 12395548 156579160 169432408
2430000 6697731 12694060 159034941 163202070
2440000 6633886 12780496 155289479 158025342
2450000 6759218 12719394 154756316 158983856
2460000 6833726 13158906 157449853 166620042
2470000 6795421 12666822 163899900 179655294
2480000 7752893 13356770 164127116 157140598
2490000 7372156 14074577 154371845 170954151
2500000 6867942 13029991 158894704 170169570
2510000 6878160 12927991 166213066 172836870
2520000 6988980 12967936 169599236 174487434
2530000 6769822 12894643 168493039 167655670
2540000 7036318 13278572 169889935 173307679
2550000 6931253 13271615 170549763 181985221
2560000 6958408 13161468 169850214 181437334
2570000 7102340 13208210 157355765 175369129
2580000 7124666 13457195 159163309 169558209
2590000 7077970 13996053 169628080 168470386
2600000 7169896 13488879 161590866 164659923
2610000 7161602 13618435 165542332 176771134
2620000 7195825 13501818 164627750 177782281
2630000 7267098 13667770 162793125 185553879
2640000 7332568 13846820 170864710 177830560
2650000 7094488 13445629 168194660 163294296
2660000 7078225 13489586 173791409 176918341
2670000 7238492 13860645 168187914 177387518
2680000 7182502 13764019 180499205 186212392
2690000 7276008 13685141 177917320 184440036
2700000 7250737 13997056 167206680 180881503
2710000 7180973 13860155 170210052 175789370
2720000 7262560 14379014 183599736 168474838
2730000 7320927 13718214 169082069 185832551
2740000 7362283 13911134 170839378 176741639
2750000 7255383 13857130 172630448 174853393
2760000 7339933 14021821 186212885 190747287
2770000 7532288 14525827 172413865 179734151
