Size IntIdx IntAppend PoloIdx PoloAppend
2450000 57321889 71463441 163337746 163119249
2460000 46819129 55946683 154848416 163044611
2470000 65726467 65746593 161769400 159975761
2480000 66315553 73661911 161676577 158079315
2490000 62891305 67022799 155054612 159977898
2500000 57866607 79576395 166065521 170085807
2510000 49764075 60098858 161532684 161461223
2520000 65269364 67376334 160490437 166509802
2530000 56688806 66520039 160435104 166973437
2540000 65237843 77400861 163104331 164017752
2550000 52390325 70306934 158656720 172679995
2560000 71807249 68806388 168303713 173678593
2570000 53495061 68072733 163303664 170842207
2580000 58445488 70986444 162145687 170032218
2590000 66257724 78106024 165601726 170974591
2600000 55967302 72793129 173518464 177008508
2610000 63628689 64564744 161644221 178984258
2620000 59245971 73486907 168521719 168530679
2630000 75929120 76334856 172434407 170965241
2640000 59195897 64801064 173100621 169332524
2650000 58488317 79595582 175017167 178154093
2660000 55084381 75071484 170008406 176394255
2670000 66660613 74625363 174384201 176330255
2680000 65286123 69084020 176847940 174521513
2690000 67191411 75247271 178096874 179130652
2700000 62163554 67000588 170738223 175928545
2710000 63864912 70187437 172782860 186562681
2720000 64835771 69448686 173426283 176977445
2730000 73742461 88630329 165649810 183389867
2740000 70364062 80557286 185330436 182891646
2750000 68881566 68542965 180485791 181342403
2760000 67194252 78076453 175360620 182954740
2770000 60527011 82531327 179571460 183497757
2780000 77996086 80805763 184167298 189309749
2790000 74734823 76433639 180258692 179945863
2800000 68355529 81093700 179547564 188534522
2810000 61808539 79924326 182456712 187450869
2820000 66178986 75161068 179594097 191905653
2830000 71845235 88317430 187842353 183974711
2840000 67817234 70789336 178989735 192571692
2850000 75443010 75423339 183212657 184160078
2860000 74783689 79365878 183329458 186835110
2870000 72359175 80228086 191815929 191047217
2880000 53199257 78826833 188676336 194764313
2890000 63648858 85539270 180608949 196701793
2900000 61923647 73205446 182271404 189829423
2910000 70352370 80997929 186388674 193051455
2920000 84334328 82209157 192832360 196846703
2930000 58617720 84189467 190499564 194717515
2940000 72458436 86891148 203039138 193012874
2950000 68725979 84999829 188176291 198571020
2960000 78110443 84084670 198431993 198879192
2970000 82778095 81022926 198727829 203504118
2980000 64967195 90996938 199031593 201181851
2990000 77947558 76582927 200784306 196557516
3000000 79158028 73134342 194064377 202436282
3010000 65763004 81001573 204913574 199760168
3020000 65205079 83272828 198672302 195260696
3030000 79386025 82825672 191700015 214527806
3040000 77392091 77501967 193877026 200610931
3050000 86113417 88015993 207490441 206155358
3060000 65606504 87898865 204816786 202218151
